ERROR 2018-10-24 11:33:42,487 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-24 11:33:42,580 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 400 67797
ERROR 2018-10-24 11:46:40,582 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-24 11:46:40,707 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 400 67841
ERROR 2018-10-24 11:46:41,290 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-24 11:46:41,366 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 67709
WARNING 2018-10-24 14:19:30,554 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 400 5196
INFO 2018-10-24 14:19:30,602 basehttp 124 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121200
INFO 2018-10-24 14:19:30,630 basehttp 124 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2018-10-24 14:19:30,643 basehttp 124 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2018-10-24 14:19:30,650 basehttp 124 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1131
INFO 2018-10-24 14:19:30,659 basehttp 124 "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
INFO 2018-10-24 14:19:30,660 basehttp 124 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1735
INFO 2018-10-24 14:19:30,667 basehttp 124 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2018-10-24 14:19:30,673 basehttp 124 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 37045
INFO 2018-10-24 14:19:30,678 basehttp 124 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2018-10-24 14:19:30,679 basehttp 124 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2018-10-24 14:19:30,795 basehttp 124 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2018-10-24 14:19:31,357 base 152 Not Found: /favicon.ico
WARNING 2018-10-24 14:19:31,359 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2159
WARNING 2018-10-24 14:20:09,229 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 14:20:09,238 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
WARNING 2018-10-24 14:20:09,284 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 400 40
WARNING 2018-10-24 14:20:09,285 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 14:20:09,286 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
WARNING 2018-10-24 14:20:27,165 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 14:20:27,166 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
ERROR 2018-10-24 14:20:27,174 exceptions 25 [<verifications.views.SMSCodeView object at 0x7fd29cdc9828>] Command # 1 (SETEX sms_code_17607162138 300 742390) of pipeline caused error: MISCONF Redis is configured to save RDB snapshots, but it is currently not able to persist on disk. Commands that may modify the data set are disabled, because this instance is configured to report errors during writes if RDB snapshotting fails (stop-writes-on-bgsave-error option). Please check the Redis logs for details about the RDB error.
ERROR 2018-10-24 14:20:27,175 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 507 35
WARNING 2018-10-24 14:25:57,504 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 14:25:57,510 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
INFO 2018-10-24 14:25:58,471 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
WARNING 2018-10-24 14:27:02,809 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 14:27:02,813 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
INFO 2018-10-24 14:27:03,662 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
WARNING 2018-10-24 14:28:05,339 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 14:28:05,342 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
INFO 2018-10-24 14:28:06,523 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
WARNING 2018-10-24 19:50:16,699 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 19:50:16,705 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
WARNING 2018-10-24 19:50:25,445 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 19:50:25,446 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
INFO 2018-10-24 19:50:26,490 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
WARNING 2018-10-24 19:52:39,547 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 19:52:39,552 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
INFO 2018-10-24 19:52:39,646 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
WARNING 2018-10-24 19:54:30,956 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 19:54:30,963 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
WARNING 2018-10-24 19:54:32,038 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 19:54:32,039 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2204
INFO 2018-10-24 19:54:32,065 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
ERROR 2018-10-24 20:16:31,491 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-24 20:16:31,792 basehttp 124 "GET / HTTP/1.1" 400 67660
ERROR 2018-10-24 20:16:32,304 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-24 20:16:32,388 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 67738
INFO 2018-10-24 20:17:50,976 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
WARNING 2018-10-24 20:27:34,022 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 20:27:34,023 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2590
WARNING 2018-10-24 20:27:49,743 base 152 Not Found: /mobiles/18676663018/count/
WARNING 2018-10-24 20:27:49,751 basehttp 124 "GET /mobiles/18676663018/count/ HTTP/1.1" 404 2590
WARNING 2018-10-24 20:27:53,858 base 152 Not Found: /mobiles/18676663018/count/
WARNING 2018-10-24 20:27:53,861 basehttp 124 "GET /mobiles/18676663018/count/ HTTP/1.1" 404 2590
WARNING 2018-10-24 20:27:58,317 base 152 Not Found: /mobiles/18676663018/count/
WARNING 2018-10-24 20:27:58,325 basehttp 124 "GET /mobiles/18676663018/count/ HTTP/1.1" 404 2590
WARNING 2018-10-24 20:28:05,461 base 152 Not Found: /mobiles/18676663018/count/
WARNING 2018-10-24 20:28:05,463 basehttp 124 "GET /mobiles/18676663018/count/ HTTP/1.1" 404 2590
WARNING 2018-10-24 20:28:15,803 base 152 Not Found: /mobiles/17607162138/count/
WARNING 2018-10-24 20:28:15,814 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 404 2590
INFO 2018-10-24 20:30:42,813 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:34:00,228 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:34:00,440 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
INFO 2018-10-24 21:34:28,107 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-24 21:34:28,123 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-24 21:34:28,173 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
WARNING 2018-10-24 21:34:28,185 basehttp 124 "POST /users/ HTTP/1.1" 400 124
INFO 2018-10-24 21:35:47,067 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:35:49,548 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:35:49,764 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
INFO 2018-10-24 21:36:07,123 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
WARNING 2018-10-24 21:36:07,136 basehttp 124 "POST /users/ HTTP/1.1" 400 124
INFO 2018-10-24 21:36:07,159 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:38:35,731 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:38:38,256 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:38:38,336 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
INFO 2018-10-24 21:38:54,357 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
WARNING 2018-10-24 21:38:54,365 basehttp 124 "POST /users/ HTTP/1.1" 400 90
INFO 2018-10-24 21:38:54,382 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:40:25,379 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:40:25,424 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
INFO 2018-10-24 21:40:35,169 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-24 21:40:35,175 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-24 21:40:35,479 basehttp 124 "POST /users/ HTTP/1.1" 201 45
INFO 2018-10-25 15:34:05,665 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-25 15:34:26,079 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-25 15:34:30,281 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-25 15:34:30,546 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
INFO 2018-10-25 15:35:05,822 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-25 15:35:12,222 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-25 15:35:38,249 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-25 15:35:39,347 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-25 15:36:04,112 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-26 16:28:57,252 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-26 16:33:21,948 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-26 16:33:23,733 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-26 16:33:35,792 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-26 16:33:35,811 basehttp 124 "OPTIONS /users/ HTTP/1.1" 200 0
INFO 2018-10-26 16:33:35,816 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
ERROR 2018-10-26 16:33:36,033 exceptions 25 [<users.views.UserCreateView object at 0x7f49e15c6e10>] (1062, "Duplicate entry '' for key 'username'")
ERROR 2018-10-26 16:33:36,034 basehttp 124 "POST /users/ HTTP/1.1" 507 35
INFO 2018-10-26 16:33:39,749 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-26 16:33:39,750 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
ERROR 2018-10-26 16:33:39,793 exceptions 25 [<users.views.UserCreateView object at 0x7f49e0582748>] (1062, "Duplicate entry '' for key 'username'")
ERROR 2018-10-26 16:33:39,794 basehttp 124 "POST /users/ HTTP/1.1" 507 35
INFO 2018-10-26 16:34:23,775 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
ERROR 2018-10-26 16:34:58,729 exceptions 25 [<verifications.views.SMSCodeView object at 0x7f49e052e0b8>] Command # 1 (SETEX sms_code_17607162138 300 704918) of pipeline caused error: MISCONF Redis is configured to save RDB snapshots, but it is currently not able to persist on disk. Commands that may modify the data set are disabled, because this instance is configured to report errors during writes if RDB snapshotting fails (stop-writes-on-bgsave-error option). Please check the Redis logs for details about the RDB error.
INFO 2018-10-26 16:34:58,734 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
ERROR 2018-10-26 16:34:58,740 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 507 35
INFO 2018-10-26 16:34:58,775 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
ERROR 2018-10-26 16:35:38,408 exceptions 25 [<verifications.views.SMSCodeView object at 0x7f49e053b710>] Command # 1 (SETEX sms_code_17607162138 300 485307) of pipeline caused error: MISCONF Redis is configured to save RDB snapshots, but it is currently not able to persist on disk. Commands that may modify the data set are disabled, because this instance is configured to report errors during writes if RDB snapshotting fails (stop-writes-on-bgsave-error option). Please check the Redis logs for details about the RDB error.
ERROR 2018-10-26 16:35:38,423 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 507 35
INFO 2018-10-26 16:35:38,429 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-26 16:38:28,701 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
INFO 2018-10-26 16:38:29,318 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-26 16:38:43,041 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
INFO 2018-10-26 16:38:43,055 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-26 16:39:08,495 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-26 16:39:08,504 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
ERROR 2018-10-26 16:39:08,561 exceptions 25 [<users.views.UserCreateView object at 0x7f49e0582198>] (1062, "Duplicate entry '' for key 'username'")
ERROR 2018-10-26 16:39:08,565 basehttp 124 "POST /users/ HTTP/1.1" 507 35
INFO 2018-10-26 16:39:43,943 basehttp 124 "GET /usernames/12246y/count/ HTTP/1.1" 200 31
INFO 2018-10-26 16:39:43,949 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
ERROR 2018-10-26 16:39:44,123 exceptions 25 [<users.views.UserCreateView object at 0x7f49e04df1d0>] (1062, "Duplicate entry '' for key 'username'")
ERROR 2018-10-26 16:39:44,125 basehttp 124 "POST /users/ HTTP/1.1" 507 35
INFO 2018-10-26 16:40:58,571 basehttp 124 "GET /mobiles/17607162138/count/ HTTP/1.1" 200 41
INFO 2018-10-26 16:40:58,609 basehttp 124 "GET /sms_code/17607162138/ HTTP/1.1" 200 16
